,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1183,house,house,10664432,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,354000,Antwerpsesteenweg 211,E,494.0,0,0,0,240,34,0,1986,Good,2,1,0,0,2,0,Gas,€354000
1184,house,house,10664431,gent,9000,Oost-Vlaanderen,Flanders,499000,Antwerpsesteenweg 211,D,317.0,0,0,0,219,35,0,0,As new,3,0,1,0,2,Hyper equipped,Gas,€499000
1185,house,house,10664430,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,499000,Antwerpsesteenweg 211,D,317.0,0,0,0,219,35,0,0,As new,3,0,1,0,2,Hyper equipped,Gas,€499000
1186,apartment,loft,10664428,heusden-zolder,3550,Limburg,Flanders,385000,Guido Gezellelaan 44,B,200.0,0,1,60,0,0,2,1997,As new,3,1,1,0,2,Installed,Gas,€385000
1187,apartment,apartment-block,10664427,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,1050000,Place du Châtelain 35,F,333.0,0,0,0,130,0,2,1918,To be done up,0,0,0,0,0,0,Gas,€1050000
1188,house,house,10664425,stekene,9190,Oost-Vlaanderen,Flanders,475000,"Dorpsstraat, 21",A,75.0,0,1,0,726,35,3,2015,Good,3,1,0,0,2,Installed,Gas,€475000
1189,house,house,10664424,sint-gillis-bij-dendermonde%20%28dendermonde%29,9200,Oost-Vlaanderen,Flanders,220000,Noordlaan 79,D,353.0,0,0,0,80,0,2,1937,To be done up,3,1,0,0,0,0,Gas,€220000
1190,house,house,10664420,vellereille-les-brayeux,7120,Hainaut,Wallonia,500000,"Route de Mons, 313",C,191.0,0,1,0,3600,0,4,2003,Good,4,1,3,0,5,Installed,Fuel oil,€500000
1191,apartment,penthouse,10664414,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,795000,Rue du Vieux-Mayeur 51,D,151.0,0,1,50,0,0,0,0,As new,2,0,0,0,2,Hyper equipped,Gas,€795000.Want
1192,house,villa,10664408,oostkamp,8020,West-Vlaanderen,Flanders,545000,Park 2,F,556.0,0,1,0,937,47,4,0,Good,4,2,0,0,2,Installed,Fuel oil,€545000
1193,house,house,10664407,coutisse,5300,Namur,Wallonia,295000,Place des Tilleuls 3,C,218.0,0,1,0,1192,0,4,2001,Good,3,1,0,0,2,Installed,Fuel oil,€295000
1195,house,town-house,10664399,engis,4480,Liï¿½ge,Wallonia,160000,Grand Route 260,E,350.0,0,1,35,400,17,2,0,Good,2,1,1,0,2,Semi equipped,Gas,€160000
1196,house,house,10664397,pepingen,1670,Vlaams-Brabant,Flanders,465000,Edingsesteenweg 341,D,332.0,0,1,0,2775,44,4,1978,Good,3,1,0,1,2,Semi equipped,Fuel oil,€465000
1197,house,house,10664396,kester,1755,Vlaams-Brabant,Flanders,370000,Edingsesteenweg 341,F,1151.0,0,1,0,2480,29,4,1960,To renovate,3,1,0,0,1,Semi equipped,Carbon,€370000
1198,house,country-cottage,10664390,robertville,4950,Liï¿½ge,Wallonia,525000,Rue de Botrange 79,C,232.0,0,1,100,736,0,3,1874,Just renovated,3,1,1,0,3,Hyper equipped,0,€525000
1199,house,mansion,10664377,antwerpen,2018,Antwerpen,Flanders,670000,Anselmostraat 42/A,D,377.0,0,0,0,184,0,2,1899,0,5,2,0,0,0,0,Gas,€670000
1200,house,house,10664372,zaventem,1930,Vlaams-Brabant,Flanders,369000,Parklaan 8,D,326.0,0,1,0,350,31,3,0,0,4,1,0,1,2,0,Gas,€369000
